Published Date,Titles,Likes,Views,Urls
2021-03-25,"MongoDB is at $700,000,000 in ARR!!  What Can We Learn?",47,2744,https://www.youtube.com/watch?v=Yr5QvKH8XCY
2021-03-18,8 Ways to Motivate Your Sales Team After a Rough Patch,24,1573,https://www.youtube.com/watch?v=Nc6CFZbRpcg
2021-03-08,Zoom Is At $4 BILLION in Revenue!!  9 Interesting Learnings.,49,2293,https://www.youtube.com/watch?v=uVvsYhgJUVM
2021-03-04,The 48 Types of VP of Sales.  You Gotta Get It Right.,65,4139,https://www.youtube.com/watch?v=22sz9EP0JFU
2021-02-23,Wix Is at $1 BILLION (!!) in ARR.  5 Interesting Learnings.,28,1216,https://www.youtube.com/watch?v=68i5hSM6v64
2021-02-18,7 Signs Your CEO Might Not Really Be Going Big,41,2441,https://www.youtube.com/watch?v=gVNPqki23OE
2021-02-14,How To Get Better at Recruiting!!,45,1492,https://www.youtube.com/watch?v=h7lv-a64TPI
2021-02-11,How to Deal With Looong Sales Cycles!,61,3079,https://www.youtube.com/watch?v=UCzzcha_kUA
2021-02-05,Want to Do a SaaS Startup?  Pass This 5 Part Test First,29,1281,https://www.youtube.com/watch?v=t21QJIsqwQA
2021-02-04,How To Hire Your First VP Of Sales -- The Original Edition,5,660,https://www.youtube.com/watch?v=xE908IVqpQ0
2021-02-02,5 Steps to Make Sure You're Hiring the Right VP of Sales,28,2004,https://www.youtube.com/watch?v=R53v6gfZEG8
2021-01-29,5 Interesting Learnings From Atlassian at $2 BILLION in ARR!,46,1791,https://www.youtube.com/watch?v=FuttXL4clDs
2021-01-14,11 Tips to Build Stronger Relationships with Customers. Right Now.,50,2271,https://www.youtube.com/watch?v=JocJluDznks
2020-10-28,"The Top 10 Simple, Easy Tips to Close More Deals",93,4311,https://www.youtube.com/watch?v=UHU4HrEBvuI
2020-09-01,The Top 10 Mistakes Folks Make Hiring Their First Sales Team,99,4218,https://www.youtube.com/watch?v=SrHKclELBEg
2020-07-06,The 10 Things I Wish My Board and Investors Had Told Me,61,2319,https://www.youtube.com/watch?v=7My6Wkmhur8
2020-06-24,Top 10 Interview Questions for VP of Sales,349,22278,https://www.youtube.com/watch?v=kPZChx9PoFQ
2020-06-18,8 Ways to Help The Sales Team Get Through A Rough Patch,20,674,https://www.youtube.com/watch?v=YIHa9IRFLos
2020-06-08,16 Rookie Errors Founders Make Pitching VCs,218,7915,https://www.youtube.com/watch?v=e6N4AJWNMjg
2020-05-30,You Have to Specialize Sales to Scale.  And You Have to Train The Team.  For Real.,30,1363,https://www.youtube.com/watch?v=9xWAy1Enptg
2020-05-26,The 6 Things I'd Tell My Younger CEO Self.,52,2348,https://www.youtube.com/watch?v=czRJgRB9NnQ
2020-05-23,Relentlessly Take Friction out of Deals.  If You Do -- You'll Close More.  Here's Why.,35,2194,https://www.youtube.com/watch?v=pBhVvVfGAT0
2020-05-18,The SaaS Decacorns:  The Covid Beneficiaries,25,1919,https://www.youtube.com/watch?v=JD_0eL9pcKU
2020-05-14,"Buying, Selling & Building Product Today.  10 Thoughts.",13,297,https://www.youtube.com/watch?v=4vWbcEpW8eo
2020-05-11,Which VP Should You Hire First?  Sales?  Marketing?,36,2158,https://www.youtube.com/watch?v=7UChiYXo7yY
2020-05-10,5 Ways to Communicate Better Now.  We All Have To.,11,567,https://www.youtube.com/watch?v=EOR9-NSwNAo
2020-05-08,What SaaS As an Industry Really Looks Like Now.  It's Changed.,11,603,https://www.youtube.com/watch?v=_ENXVEWvW7Y
2020-05-07,"What We've Learned From 1,000,000+ Social Followers",13,232,https://www.youtube.com/watch?v=ugOQ3AxNwCA
2020-05-06,What's Really Going On in Venture Capital Right Now,5,411,https://www.youtube.com/watch?v=9Fd8Du2DQR8
2020-05-04,The New Normal Is Here.  Things Won't Be The Same.  But Here are 8 Ideas On How to Adjust.,17,1061,https://www.youtube.com/watch?v=z4J7WOoeNIU
2020-05-03,How To Hire and Build Your First Sales Team.  Especially If You Haven't Done It Before.,37,2060,https://www.youtube.com/watch?v=Sxvexceg8jQ
2020-04-30,When Will Events Be Back??,12,741,https://www.youtube.com/watch?v=-3lq9TlG4AA
2020-04-15,"What's Happening With SMBs Now? A Discussion with Romain Lapeyre, CEO Gorgias (2,500+ SMB customers)",5,595,https://www.youtube.com/watch?v=vQ-5kjDFaeA
2020-04-07,14 Actionable Tips to Becoming More Customer Centric,30,1247,https://www.youtube.com/watch?v=0fJCIfEtHL4
2020-04-06,Churn and Sales Cycles.  Adapting to Your New Normal.,6,510,https://www.youtube.com/watch?v=S64L9Ra0xco
2015-02-26,"Aaron Levie @ SaaStr Annual: ""The First $250,000,000 in ARR""",22,3279,https://www.youtube.com/watch?v=Ari7CSqm_zk
